totalprice,xiaoqu,hux,mianji,chaoxiang,zhaungxiu,,dizhi,following,alreadylooked,fabu
515万,众安白马山庄   , 联排别墅 , 4室3厅 , 219.5平米 , 南 , 无电梯,  小和山,103人关注 , 共4次带看 , 10个月以前发布
405万,马塍路11号  , 2室1厅 , 61.7平米 , 南 , 精装 ,,  文三,34人关注 , 共20次带看 , 7个月以前发布
1215万,金都城市芯宇  , 3室2厅 , 186.89平米 , 南 北 , 精装 ,,  文教,3人关注 , 共2次带看 , 6个月以前发布
245万,康乐新村  , 2室2厅 , 65.02平米 , 南 , 精装 ,,  文三西路,15人关注 , 共8次带看 , 23天以前发布
755万,坤和和家园  , 4室2厅 , 158.07平米 , 南 北 , 精装 ,,  西溪,17人关注 , 共4次带看 , 30天以前发布
580万,嘉绿名苑  , 3室2厅 , 116.11平米 , 西南 , 精装 ,,  嘉绿,17人关注 , 共3次带看 , 4个月以前发布
475万,紫林公寓  , 3室2厅 , 93.9平米 , 南 , 简装 ,,  文一西路,5人关注 , 共0次带看 , 1个月以前发布
200万,黄姑山路22号  , 1室1厅 , 61.9平米 , 南 , 简装 ,,  九莲,136人关注 , 共2次带看 , 一年前发布
230万,翠苑二区北区  , 2室1厅 , 63.66平米 , 东 西 北 , 简装 ,,  翠苑,301人关注 , 共3次带看 , 9个月以前发布
330万,桃园新村  , 2室1厅 , 50.6平米 , 南 , 简装 ,,  黄龙,27人关注 , 共2次带看 , 9个月以前发布
245万,黄姑山路22号  , 2室1厅 , 71.94平米 , 南 , 简装 ,,  九莲,103人关注 , 共4次带看 , 9个月以前发布
270万,翠苑二区  , 2室2厅 , 60.14平米 , 东 南 西 北 , 简装 ,,  翠苑,35人关注 , 共0次带看 , 9个月以前发布
225万,翠苑四区  , 2室1厅 , 55.36平米 , 南 , 简装 ,,  翠苑,46人关注 , 共2次带看 , 8个月以前发布
255万,都市阳光和苑  , 3室2厅 , 81.5平米 , 东 南 北 , 毛坯 ,,  良渚,76人关注 , 共2次带看 , 7个月以前发布
326万,中海紫藤苑  , 2室2厅 , 87.3平米 , 南 北 , 毛坯 ,,  三墩,42人关注 , 共3次带看 , 7个月以前发布
430万,中海西溪华府  , 3室1厅 , 86.55平米 , 南 , 精装 ,,  西溪,60人关注 , 共20次带看 , 6个月以前发布
230万,翠苑二区  , 2室1厅 , 55.74平米 , 南 北 , 简装 ,,  翠苑,17人关注 , 共4次带看 , 5个月以前发布
370万,金地自在城  , 3室2厅 , 89.75平米 , 南 北 , 精装 ,,  三墩,19人关注 , 共6次带看 , 1个月以前发布
1040万,中大文锦苑  , 4室2厅 , 136.82平米 , 南 北 , 简装 ,,  学军,37人关注 , 共6次带看 , 一年前发布
960万,中大文锦苑  , 3室2厅 , 124.77平米 , 南 , 精装 ,,  学军,36人关注 , 共8次带看 , 一年前发布
550万,山水人家诗家谷  , 3室2厅 , 138.47平米 , 南 , 简装 ,,  文三西路,40人关注 , 共12次带看 , 一年前发布
355万,南都花园一区  , 3室2厅 , 76平米 , 南 , 简装 ,,  文一西路,55人关注 , 共12次带看 , 10个月以前发布
579万,求智弄  , 2室2厅 , 68.55平米 , 南 , 简装 ,,  学军,8人关注 , 共11次带看 , 10个月以前发布
440万,云溪香山  , 4室2厅 , 168.07平米 , 南 , 简装 ,,  转塘,35人关注 , 共0次带看 , 9个月以前发布
850万,中大文锦苑  , 3室1厅 , 113.47平米 , 南 , 简装 ,,  学军,22人关注 , 共14次带看 , 7个月以前发布
395万,中海西溪华府  , 3室2厅 , 86.55平米 , 南 , 精装 ,,  西溪,95人关注 , 共13次带看 , 6个月以前发布
355万,西荡苑杏苑  , 3室2厅 , 74.96平米 , 南 , 简装 ,,  文三西路,23人关注 , 共17次带看 , 6个月以前发布
335万,协安紫郡  , 3室2厅 , 89.84平米 , 南 北 , 简装 ,,  三墩,38人关注 , 共14次带看 , 5个月以前发布
960万,颐景园  , 6室2厅 , 220.8平米 , 南 北 , 精装 ,,  文三西路,38人关注 , 共0次带看 , 一年前发布
590万,上宁新村  , 3室2厅 , 94.47平米 , 南 北 , 精装 ,,  文三,41人关注 , 共3次带看 , 一年前发布
800万,政苑小区  , 5室3厅 , 201.25平米 , 南 , 精装 ,,  申花,38人关注 , 共0次带看 , 一年前发布
310万,白马尊邸  , 2室1厅 , 86.81平米 , 南 , 精装 ,,  三墩,156人关注 , 共2次带看 , 一年前发布
395万,翠苑四区  , 3室2厅 , 93.23平米 , 南 北 , 简装 ,,  翠苑,38人关注 , 共4次带看 , 10个月以前发布
540万,求是村  , 3室1厅 , 77平米 , 南 , 简装 ,,  黄龙,34人关注 , 共3次带看 , 7个月以前发布
255万,康乐香港城  , 2室1厅 , 73.94平米 , 南 , 简装 ,,  文三西路,8人关注 , 共10次带看 , 2个月以前发布
660万,嘉绿莲苑  , 4室2厅 , 152.83平米 , 东 南 , 简装 ,,  嘉绿,17人关注 , 共6次带看 , 7个月以前发布
350万,中兴公寓  , 2室2厅 , 75.05平米 , 南 , 精装 ,,  文三西路,33人关注 , 共0次带看 , 6个月以前发布
810万,耀江文鼎苑  , 3室2厅 , 134平米 , 南 北 , 简装 ,,  申花,28人关注 , 共5次带看 , 5个月以前发布
390万,恩济花苑  , 2室2厅 , 77.17平米 , 南 , 简装 ,,  文一西路,4人关注 , 共1次带看 , 29天以前发布
205万,翠苑一区  , 2室1厅 , 42.67平米 , 南 北 , 简装 ,,  翠苑,43人关注 , 共15次带看 , 11个月以前发布
315万,嘉绿福苑  , 2室1厅 , 73.75平米 , 南 , 精装 ,,  嘉绿,117人关注 , 共19次带看 , 7个月以前发布
470万,邮电新村  , 3室1厅 , 73平米 , 南 北 , 简装 ,,  学军,70人关注 , 共0次带看 , 一年前发布
390万,金田花园  , 3室2厅 , 104.01平米 , 南 北 , 简装 ,,  文三西路,185人关注 , 共0次带看 , 一年前发布
560万,华苑公寓  , 3室2厅 , 106.63平米 , 南 , 简装 ,,  文一西路,60人关注 , 共0次带看 , 11个月以前发布
1180万,阳光地带东区  , 4室3厅 , 246.29平米 , 南 , 简装 ,,  文一西路,7人关注 , 共6次带看 , 一年前发布
500万,紫金庭园  , 3室2厅 , 116.96平米 , 南 北 , 简装 ,,  文三西路,29人关注 , 共4次带看 , 一年前发布
680万,星洲花园红树林  , 3室2厅 , 133.04平米 , 南 北 , 精装 ,,  文一西路,30人关注 , 共3次带看 , 3个月以前发布
385万,沈塘新村  , 2室1厅 , 58.32平米 , 南 , 简装 ,,  学军,29人关注 , 共7次带看 , 7个月以前发布
726万,山水人家清水湾  , 4室2厅 , 181.5平米 , 南 北 , 精装 ,,  文三西路,16人关注 , 共3次带看 , 6个月以前发布
690万,政苑小区  , 4室2厅 , 153.53平米 , 南 , 精装 ,,  申花,17人关注 , 共0次带看 , 3个月以前发布
380万,绿洲湾  , 3室2厅 , 93.95平米 , 南 , 其他 ,,  文一西路,3人关注 , 共8次带看 , 1个月以前发布
310万,溪畔花园  , 2室1厅 , 50.5平米 , 南 , 简装 ,,  文教,1人关注 , 共12次带看 , 1个月以前发布
585万,坤和和家园  , 4室2厅 , 138.53平米 , 南 北 , 毛坯 ,,  西溪,34人关注 , 共7次带看 , 2个月以前发布
510万,颐景园  , 3室1厅 , 104.08平米 , 南 北 , 简装 ,,  文三西路,12人关注 , 共1次带看 , 2个月以前发布
450万,保俶北路90号  , 3室1厅 , 77.73平米 , 南 , 简装 ,,  文教,1人关注 , 共1次带看 , 1个月以前发布
950万,坤和西溪里璞园  , 4室2厅 , 190.18平米 , 南 , 精装 ,,  西溪,4人关注 , 共0次带看 , 1个月以前发布
430万,翠苑四区南园  , 3室1厅 , 90.83平米 , 南 北 , 精装 ,,  翠苑,0人关注 , 共0次带看 , 29天以前发布
300万,天阳云筑  , 3室2厅 , 86.63平米 , 南 , 毛坯 ,,  转塘,34人关注 , 共5次带看 , 一年前发布
950万,金色蓝庭  , 4室2厅 , 184.71平米 , 南 北 , 简装 ,,  嘉绿,15人关注 , 共7次带看 , 一年前发布
320万,南都花园三区  , 3室1厅 , 81.91平米 , 南 , 简装 ,,  文一西路,27人关注 , 共14次带看 , 10个月以前发布
670万,名仕家园  , 3室2厅 , 129平米 , 南 , 精装 ,,  文一西路,15人关注 , 共6次带看 , 8个月以前发布
480万,外东山弄  , 3室1厅 , 75.13平米 , 南 , 简装 ,,  黄龙,40人关注 , 共10次带看 , 7个月以前发布
250万,翠苑三区  , 3室1厅 , 66平米 , 东 南 北 , 简装 ,,  翠苑,26人关注 , 共7次带看 , 5个月以前发布
620万,西溪诚园致诚苑  , 3室1厅 , 87.57平米 , 南 北 , 精装 ,,  西溪,47人关注 , 共10次带看 , 5个月以前发布
650万,山水人家香溪地  , 4室2厅 , 144.87平米 , 南 , 简装 ,,  文三西路,10人关注 , 共6次带看 , 5个月以前发布
430万,云溪香山  , 3室2厅 , 130平米 , 南 , 精装 ,,  转塘,13人关注 , 共6次带看 , 4个月以前发布
500万,求智弄  , 2室1厅 , 54.63平米 , 南 北 , 简装 ,,  学军,2人关注 , 共6次带看 , 3个月以前发布
320万,紫金公寓  , 2室2厅 , 81.89平米 , 南 北 , 简装 ,,  文三西路,8人关注 , 共8次带看 , 2个月以前发布
510万,星洲花园花柏美舍  , 2室1厅 , 83平米 , 南 , 精装 ,,  文一西路,32人关注 , 共1次带看 , 7个月以前发布
500万,文三新村  , 3室1厅 , 75.69平米 , 南 , 精装 ,,  文三,9人关注 , 共1次带看 , 7个月以前发布
315万,翠苑四区  , 3室1厅 , 72.2平米 , 南 , 简装 ,,  翠苑,5人关注 , 共4次带看 , 一年前发布
1050万,万科西庐  , 4室2厅 , 175平米 , 南 北 , 精装 ,,  西溪,35人关注 , 共11次带看 , 5个月以前发布
370万,万科星空  , 3室2厅 , 89.97平米 , 南 , 精装 ,,  西溪,92人关注 , 共32次带看 , 4个月以前发布
535万,求是村  , 3室1厅 , 74.12平米 , 南 , 精装 ,,  黄龙,19人关注 , 共8次带看 , 4个月以前发布
480万,云溪香山  , 3室2厅 , 179.06平米 , 南 , 精装 ,,  转塘,12人关注 , 共0次带看 , 3个月以前发布
490万,浪漫和山  , 5室3厅 , 253.08平米 , 南 , 毛坯 ,,  小和山,25人关注 , 共0次带看 , 2个月以前发布
1000万,坤和和家园  , 5室3厅 , 250.64平米 , 南 北 , 精装 ,,  西溪,7人关注 , 共0次带看 , 1个月以前发布
630万,金都新城  , 4室2厅 , 174.77平米 , 南 , 精装 ,,  文三西路,0人关注 , 共0次带看 , 24天以前发布
288万,亚洲城花园  , 2室2厅 , 63.29平米 , 南 , 简装 ,,  古荡,13人关注 , 共0次带看 , 6个月以前发布
840万,坤和西溪里璞园  , 4室2厅 , 177.6平米 , 南 北 , 精装 ,,  西溪,66人关注 , 共2次带看 , 10个月以前发布
530万,众安白马山庄   , 联排别墅 , 5室2厅 , 203.68平米 , 南 , 无电梯,  小和山,75人关注 , 共2次带看 , 7个月以前发布
310万,润达花园  , 3室2厅 , 84.3平米 , 南 , 简装 ,,  三墩,2人关注 , 共0次带看 , 3个月以前发布
370万,丹桂公寓  , 2室1厅 , 76平米 , 南 , 精装 ,,  文三西路,31人关注 , 共10次带看 , 4个月以前发布
420万,中海西溪华府  , 2室2厅 , 89平米 , 南 北 , 毛坯 ,,  西溪,294人关注 , 共11次带看 , 一年前发布
250万,康乐香港城  , 2室2厅 , 85平米 , 南 , 简装 ,,  文三西路,65人关注 , 共18次带看 , 10个月以前发布
195万,翠苑三区  , 2室1厅 , 49.88平米 , 南 , 简装 ,,  翠苑,80人关注 , 共13次带看 , 7个月以前发布
270万,南都花园三区  , 2室1厅 , 67.61平米 , 南 北 , 简装 ,,  文一西路,63人关注 , 共15次带看 , 7个月以前发布
488万,金色蓝庭  , 3室2厅 , 89.21平米 , 南 , 简装 ,,  嘉绿,50人关注 , 共20次带看 , 6个月以前发布
228万,翠苑三区  , 3室1厅 , 66.21平米 , 南 西 北 , 简装 ,,  翠苑,39人关注 , 共12次带看 , 5个月以前发布
255万,翠苑五区  , 2室1厅 , 65.32平米 , 东南 , 简装 ,,  翠苑,47人关注 , 共17次带看 , 4个月以前发布
158万,翠苑四区  , 1室1厅 , 37.62平米 , 南 , 简装 ,,  翠苑,29人关注 , 共18次带看 , 4个月以前发布
420万,花园南村  , 2室1厅 , 61.34平米 , 南 北 , 简装 ,,  文教,6人关注 , 共18次带看 , 3个月以前发布
350万,花园南村  , 2室1厅 , 51.61平米 , 南 北 , 简装 ,,  文教,13人关注 , 共21次带看 , 3个月以前发布
396万,金厦公寓  , 3室2厅 , 134.05平米 , 南 北 , 简装 ,,  三墩,25人关注 , 共0次带看 , 11个月以前发布
550万,嘉绿名苑  , 3室1厅 , 114.28平米 , 东 南 , 精装 ,,  嘉绿,10人关注 , 共3次带看 , 2个月以前发布
650万,星洲花园格兰馨芦  , 3室2厅 , 123.16平米 , 南 , 精装 ,,  文一西路,20人关注 , 共1次带看 , 2个月以前发布
285万,古荡新村东区  , 3室1厅 , 70.41平米 , 南 , 简装 ,,  古荡,30人关注 , 共0次带看 , 一年前发布
280万,康乐香港城  , 2室2厅 , 78.25平米 , 东 南 , 简装 ,,  文三西路,263人关注 , 共2次带看 , 一年前发布
223万,翠苑四区  , 2室1厅 , 52.03平米 , 东 南 北 , 简装 ,,  翠苑,72人关注 , 共2次带看 , 9个月以前发布
380万,邮电新村  , 2室1厅 , 54.17平米 , 南 , 简装 ,,  学军,17人关注 , 共5次带看 , 9个月以前发布
335万,金地自在城  , 3室2厅 , 85.75平米 , 南 , 精装 ,,  三墩,180人关注 , 共31次带看 , 8个月以前发布
460万,融创河滨之城  , 3室2厅 , 89.72平米 , 南 北 , 精装,,  西溪,62人关注 , 共34次带看 , 7个月以前发布
745万,万科西庐  , 4室2厅 , 123平米 , 南 北 , 精装 ,,  西溪,76人关注 , 共20次带看 , 6个月以前发布
485万,万科西庐  , 3室2厅 , 89平米 , 南 北 , 精装 ,,  西溪,8人关注 , 共13次带看 , 19天以前发布
435万,嘉绿景苑南园  , 3室2厅 , 105.21平米 , 南 , 简装 ,,  文三西路,4人关注 , 共13次带看 , 2个月以前发布
820万,坤和和家园  , 4室2厅 , 191.96平米 , 南 北 , 精装 ,,  西溪,220人关注 , 共0次带看 , 一年前发布
235万,古荡新村东区  , 2室1厅 , 58.4平米 , 南 北 , 简装 ,,  古荡,3人关注 , 共2次带看 , 1个月以前发布
750万,融创瑷骊山  , 4室2厅 , 181.41平米 , 南 , 毛坯 ,,  转塘,0人关注 , 共0次带看 , 23天以前发布
370万,西溪晴雪  , 3室2厅 , 83.99平米 , 南 , 精装 ,,  西溪,8人关注 , 共0次带看 , 14天以前发布
430万,府新花园东区  , 3室2厅 , 82.63平米 , 南 , 简装 ,,  文三西路,7人关注 , 共5次带看 , 6个月以前发布
430万,文三新村  , 3室1厅 , 64.44平米 , 南 , 简装 ,,  文三,18人关注 , 共8次带看 , 5个月以前发布
385万,亚洲城花园  , 3室2厅 , 100.04平米 , 东 , 简装 ,,  古荡,98人关注 , 共1次带看 , 一年前发布
410万,坤和和家园  , 2室1厅 , 88.8平米 , 南 , 简装 ,,  西溪,24人关注 , 共2次带看 , 一年前发布
480万,梅苑阁小区  , 3室2厅 , 91.73平米 , 南 北 , 简装 ,,  文教,16人关注 , 共3次带看 , 一年前发布
820万,桂花城  , 3室2厅 , 159.27平米 , 南 北 , 精装 ,,  文一西路,116人关注 , 共9次带看 , 一年前发布
660万,坤和西溪里璞园  , 3室2厅 , 137.75平米 , 南 北 , 毛坯 ,,  西溪,70人关注 , 共2次带看 , 一年前发布
320万,佳兆业玖珑山  , 3室2厅 , 125平米 , 南 , 简装 ,,  转塘,83人关注 , 共2次带看 , 一年前发布
286万,古荡新村东区  , 3室1厅 , 73.03平米 , 南 , 毛坯 ,,  古荡,184人关注 , 共0次带看 , 一年前发布
470万,嘉绿北苑  , 3室2厅 , 124平米 , 南 , 简装 ,,  嘉绿,82人关注 , 共3次带看 , 一年前发布
280万,赞成岭上花苑  , 4室2厅 , 88.37平米 , 南 , 精装 ,,  转塘,69人关注 , 共2次带看 , 一年前发布
590万,和苑小区  , 4室2厅 , 133.28平米 , 南 北 , 毛坯 ,,  申花,116人关注 , 共2次带看 , 一年前发布
440万,嘉绿西苑  , 3室2厅 , 98.3平米 , 南 , 简装 ,,  嘉绿,233人关注 , 共8次带看 , 一年前发布
495万,浪漫和山  , 5室2厅 , 225.54平米 , 南 西 北 , 毛坯 ,,  小和山,23人关注 , 共0次带看 , 一年前发布
468万,嘉绿北苑  , 3室2厅 , 107.2平米 , 南 北 , 简装 ,,  嘉绿,45人关注 , 共4次带看 , 一年前发布
455万,胜利新村  , 3室1厅 , 96.98平米 , 南 , 简装 ,,  黄龙,60人关注 , 共1次带看 , 一年前发布
420万,物华小区  , 3室2厅 , 122.36平米 , 南 北 , 简装 ,,  嘉绿,49人关注 , 共4次带看 , 一年前发布
760万,西溪河东  , 3室2厅 , 129.76平米 , 南 , 简装 ,,  学军,18人关注 , 共2次带看 , 11个月以前发布
695万,嘉绿文苑  , 3室1厅 , 133.6平米 , 南 , 精装 ,,  嘉绿,36人关注 , 共5次带看 , 10个月以前发布
625万,嘉南公寓小高层  , 4室2厅 , 132.55平米 , 南 北 , 简装 ,,  文一西路,35人关注 , 共7次带看 , 10个月以前发布
660万,山水人家白沙岛  , 4室2厅 , 169.06平米 , 南 , 简装 ,,  文三西路,16人关注 , 共8次带看 , 10个月以前发布
415万,颐景园  , 3室1厅 , 85.89平米 , 南 北 , 简装 ,,  文三西路,54人关注 , 共3次带看 , 10个月以前发布
420万,香樟公寓  , 3室2厅 , 92.44平米 , 南 , 简装 ,,  文三西路,53人关注 , 共3次带看 , 10个月以前发布
598万,恩济花苑  , 4室2厅 , 143.46平米 , 南 , 精装 ,,  文一西路,28人关注 , 共3次带看 , 9个月以前发布
480万,嘉绿青苑  , 3室1厅 , 98.66平米 , 西 北 , 简装 ,,  嘉绿,32人关注 , 共7次带看 , 9个月以前发布
800万,融创瑷骊山  , 4室2厅 , 225.75平米 , 南 北 , 毛坯 ,,  转塘,6人关注 , 共1次带看 , 9个月以前发布
609万,新德雅公寓  , 3室2厅 , 133平米 , 南 北 , 毛坯 ,,  文教,3人关注 , 共1次带看 , 9个月以前发布
435万,天湖公寓  , 3室2厅 , 125.1平米 , 南 北 , 简装 ,,  文一西路,20人关注 , 共6次带看 , 9个月以前发布
315万,香樟公寓  , 3室2厅 , 70.9平米 , 南 , 简装 ,,  文三西路,123人关注 , 共2次带看 , 8个月以前发布
540万,秋水苑  , 3室2厅 , 122平米 , 南 西 北 , 精装 ,,  文三西路,25人关注 , 共2次带看 , 8个月以前发布
830万,枫华府第  , 4室2厅 , 142.93平米 , 东 南 北 , 简装 ,,  翠苑,89人关注 , 共4次带看 , 8个月以前发布
280万,融创瑷骊山  , 2室1厅 , 89.32平米 , 南 , 简装 ,,  转塘,49人关注 , 共3次带看 , 8个月以前发布
520万,嘉绿西苑  , 3室2厅 , 121.47平米 , 南 北 , 简装 ,,  嘉绿,18人关注 , 共3次带看 , 8个月以前发布
295万,人和家园  , 3室1厅 , 135.68平米 , 南 , 简装 ,,  留下,26人关注 , 共4次带看 , 7个月以前发布
530万,三墩颐景园  , 4室2厅 , 149.15平米 , 南 , 毛坯 ,,  三墩,20人关注 , 共2次带看 , 7个月以前发布
930万,西溪蝶园一期  , 4室2厅 , 191.39平米 , 南 北 , 精装 ,,  西溪,53人关注 , 共3次带看 , 7个月以前发布
330万,金地自在城  , 3室1厅 , 89平米 , 南 , 精装 ,,  三墩,43人关注 , 共1次带看 , 6个月以前发布
400万,复地黄龙和山  , 3室2厅 , 88.48平米 , 南 北 , 毛坯 ,,  西溪,33人关注 , 共2次带看 , 6个月以前发布
265万,中海定山府  , 3室1厅 , 85.36平米 , 南 , 简装 ,,  转塘,33人关注 , 共3次带看 , 5个月以前发布
606万,南都德迦东区  , 3室2厅 , 131.73平米 , 东 南 北 , 简装 ,,  文三西路,33人关注 , 共7次带看 , 5个月以前发布
490万,新西湖花园  , 3室2厅 , 166.74平米 , 南 北 , 其他 ,,  之江,11人关注 , 共3次带看 , 2个月以前发布
590万,中海定山府  , 3室2厅 , 178平米 , 南 , 精装 ,,  转塘,4人关注 , 共1次带看 , 2个月以前发布
698万,星洲花园格兰馨芦  , 3室2厅 , 121.6平米 , 南 , 精装 ,,  文一西路,23人关注 , 共0次带看 , 3个月以前发布
480万,金都花园  , 4室2厅 , 133.22平米 , 南 , 简装 ,,  文三西路,12人关注 , 共0次带看 , 2个月以前发布
530万,翠苑佳居  , 3室2厅 , 113.7平米 , 南 北 , 精装 ,,  翠苑,14人关注 , 共0次带看 , 2个月以前发布
380万,金都花园  , 5室1厅 , 117.45平米 , 南 , 简装 ,,  文三西路,10人关注 , 共0次带看 , 1个月以前发布
430万,金田花园  , 3室2厅 , 115.43平米 , 南 , 精装 ,,  文三西路,8人关注 , 共1次带看 , 1个月以前发布
700万,嘉南公寓小高层  , 4室2厅 , 165.5平米 , 南 , 精装 ,,  文一西路,31人关注 , 共2次带看 , 一年前发布
275万,美都新村  , 2室2厅 , 67.8平米 , 南 , 简装 ,,  文三西路,67人关注 , 共0次带看 , 9个月以前发布
360万,天苑花园  , 3室2厅 , 89.55平米 , 南 北 , 简装 ,,  翠苑,30人关注 , 共1次带看 , 8个月以前发布
570万,南都德迦东区  , 4室2厅 , 141.39平米 , 南 , 精装 ,,  文三西路,70人关注 , 共8次带看 , 8个月以前发布
400万,西荡苑梨苑  , 3室2厅 , 91.68平米 , 西 , 精装 ,,  文三西路,16人关注 , 共2次带看 , 6个月以前发布
